X,Y,ID,PARTS,NOM,CODE,CLASSIF,SOUS_PREF,DEPART,REGION,icon_url
-2.98138247652976,7.895254847623,"4307","1",GOUMERE,"3","1",GOUMERE,BONDOUKOU,ZANZAN,./0.png
-3.41420613820677,7.89880544752444,"4308","1",ABONGUI MOROKRO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-2.87450884510872,7.89742066424957,"4309","1",APPIMADOUM,"2","1",BONDOUKOU,BONDOUKOU,ZANZAN,./0.png
-3.71813202473195,7.89632519732748,"4310","1",DJORO-DJORO,"2","1",KOUASSI-DATEKRO,TANDA,ZANZAN,./0.png
-2.9124496157142,7.89499169338414,"4311","1",MANTOUKOUA,"1","0",GOUMERE,BONDOUKOU,ZANZAN,./0.png
-3.07443858649325,7.89118631985231,"4312","1",NAGAFOU,"1","1",TANDA,TANDA,ZANZAN,./0.png
-2.8021755996837,7.89052317691281,"4313","1",METY,"1","0",BONDOUKOU,BONDOUKOU,ZANZAN,./0.png
-3.58818528030813,7.88744369429481,"4314","1",NAMBO-DONGBO/NANGBO-,"1","1",KOUASSI-DATEKRO,TANDA,ZANZAN,./0.png
-3.12109839305336,7.88923683930527,"4315","1",DJANI YAO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.28126347000434,7.88227398707876,"4316","1",TIEDIO,"1","1",TANDA,TANDA,ZANZAN,./0.png
-3.69643441334231,7.88383293035833,"4317","1",YAOKRO,"1","0",KOUASSI-DATEKRO,TANDA,ZANZAN,./0.png
-3.21231712082659,7.88347496949859,"4318","1",DJEDOU BANGO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.01371132910138,7.87834654386485,"4319","1",LOMO,"1","1",TANDA,TANDA,ZANZAN,./0.png
-3.14525326619425,7.88002952199328,"4320","1",SOKOUADOU,"1","0",TANDA,TANDA,ZANZAN,./0.png
-2.86595809069004,7.87736481057908,"4321","1",KIKIWERE,"1","0",BONDOUKOU,BONDOUKOU,ZANZAN,./0.png
-2.92451947345579,7.87748516371963,"4322","1",KOFFIEKRO,"1","0",GOUMERE,BONDOUKOU,ZANZAN,./0.png
-3.38241438367794,7.87605600229366,"4323","1",ABONGUI TIEKONI YAOK,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.32713902825488,7.87366275447332,"4324","1",GUIMERE,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.56697295794777,7.87137112500091,"4325","1",SENANDE,"1","1",KOUASSI-DATEKRO,TANDA,ZANZAN,./0.png
-3.17401635766585,7.8740747813009,"4326","1",SEPE,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.70548806154156,7.86529203947383,"4327","1",KOUAKOU-DJINANKRO/DJ,"1","0",KOUASSI-DATEKRO,TANDA,ZANZAN,./0.png
-3.04438970322068,7.86572862300209,"4328","1",YAO BOUO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.24949783119393,7.86280099698638,"4329","1",FIEMERO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.12871909950553,7.86097643719356,"4330","1",TEKO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-2.93393690877637,7.86089909262661,"4331","1",KARABEGNE (KRABEGNE),"1","0",TANDA,TANDA,ZANZAN,./0.png
-2.88071151847754,7.85985417484004,"4332","1",KINKUA,"1","1",BONDOUKOU,BONDOUKOU,ZANZAN,./0.png
-3.08996217465472,7.85300038547479,"4333","1",GUIENDE,"1","1",TANDA,TANDA,ZANZAN,./0.png
-2.81491802402329,7.85269536826003,"4334","1",DOUMASSI,"1","0",BONDOUKOU,BONDOUKOU,ZANZAN,./0.png
-3.31743926083193,7.8529730212239,"4335","1",ANOBANGO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.69440960537973,7.8512503821209,"4336","1",COMOEKRO,"1","0",KOUASSI-DATEKRO,TANDA,ZANZAN,./0.png
-3.37150306300646,7.8484136504657,"4337","1",NEMA,"1","0",TANDA,TANDA,ZANZAN,./0.png
-2.95368957880909,7.84748567485067,"4338","1",KOROKO 2,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.3390416986296,7.84511345798328,"4339","1",ADOUBANGO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.45478708352602,7.8433255594109,"4340","1",KOUAKRO BOVENSO,"1","0",KOUASSI-DATEKRO,TANDA,ZANZAN,./0.png
-2.94754466686384,7.84237898532794,"4341","1",YOMIAN 2,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.41807082337351,7.83797002243006,"4342","1",KOMAMBO,"1","0",KOUASSI-DATEKRO,TANDA,ZANZAN,./0.png
-2.96557677764022,7.84007223337672,"4343","1",KOROKO-FOUAMASSA,"1","0",TANDA,TANDA,ZANZAN,./0.png
-2.95210859468155,7.84053620145223,"4344","1",ABOKOUAKOU,"1","0",TANDA,TANDA,ZANZAN,./0.png
-2.98752660092835,7.83856764168358,"4345","1",AMATA,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.5205304344145,7.83510160970527,"4346","1",OUROUTARA,"1","1",KOUASSI-DATEKRO,TANDA,ZANZAN,./0.png
