X,Y,NOM,TYPE,X_COORD,Y_COORD,Diff,icon_url
-3.95289874118979,5.29844290479141,Collège Frantz fanon,Secondaire,394411.45747,585734.96032,Secondaire,./1.png
-3.95917460511715,5.29247409445167,Instutut Adama Traoré,Secondaire,393714.95955,585076.15123,Secondaire,./1.png
-3.95926673791815,5.29407156909579,Collège Néophyte,Secondaire,393705.02228,585252.77553,Secondaire,./1.png
-3.95592996951252,5.28415972766331,Lycée le Roi des Rois,Secondaire,394073.11337,584156.40454,Secondaire,./1.png
-3.95783525844092,5.30060728122921,Collège Ste Albertine,Secondaire,393864.77242,585975.08495,Secondaire,./1.png
-3.97357527746746,5.29213789484843,ESAC,Professionnelle,392119.02839,585041.46562,Secondaire,./1.png
-3.95439423711802,5.29684411362366,Epv Hébron,Primaire,394245.45795,585558.46121,Primaire,./0.png
-3.95779410205255,5.28888243595686,Epv Ajavon,Primaire,393867.33351,584678.84016,Primaire,./0.png
-3.9559828622884,5.28923234105563,Epp Sicogi 3,Primaire,394068.11400,584717.21479,Primaire,./0.png
-3.98387913330641,5.30159815702165,Epv les Alouettes 1,Primaire,390978.81536,586089.15016,Primaire,./0.png
-3.97850024267742,5.29539263288178,Epv les Anges Blancs,Primaire,391573.81222,585402.15227,Primaire,./0.png
-3.9792560219117,5.2997240876274,Epv les Minimes,Primaire,391490.81308,585881.15043,Primaire,./0.png
-3.97654707475892,5.28704699012257,Epv les Sept Nains,Primaire,391788.81034,584479.15574,Primaire,./0.png
-3.962574288652,5.30761055574793,Epp Aliodan 2,Primaire,393340.80661,586750.14488,Primaire,./0.png
-3.97769868610071,5.29637982477286,Epp Konan Raphael,Primaire,391662.81198,585511.15173,Primaire,./0.png
-3.96700970890079,5.31062473977025,Epp Aliodan 5,Primaire,392849.80895,587084.14407,Primaire,./0.png
-3.97296298082213,5.28593101207632,Institut Supérieur le Progrès,Professionnelle,392185.80862,584355.15580,Secondaire,./1.png
-3.96650434189912,5.27571094101675,Epp Ancien Koumassi,Primaire,392899.80453,583224.15956,Primaire,./0.png
-3.97866771777,5.28711601160854,Epp Zone 4C,Primaire,391553.81128,584487.15597,Primaire,./0.png
-3.97771707373954,5.30807523680352,Epp Anoumabo 4,Primaire,391662.81341,586804.14651,Primaire,./0.png
-3.98265279278824,5.30216090650482,Epp Avenue de C3,Primaire,391114.81489,586151.14976,Primaire,./0.png
